,No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
8608,7826.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , BATUKLIANG , MANTANG ," Tenten Rt 000 Rw 000 Desa Mantang, Kecamatan Batukliang, Kabupaten Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Batukliang Mantang 
8609,7827.0, SUMATERA UTARA , ASAHAN , AIR BATU , SEI ALIM ULU ," Desa Sei Alim Ulu, Kecamatan Air Batu, Kabupaten Asahan, Sumatera Utara ", SPPG Asahan Air Batu Sei Alim Ulu 2 
8610,7828.0, JAWA BARAT , SUMEDANG , UJUNGJAYA , SUKAMULYA ," Akses Jalan Lebar, Sukamulya, Kec. Ujungjaya, Kab. Sumedang, Jawa Barat ", SPPG Sumedang Ujungjaya Sukamulya 
8611,7829.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , PRAYA , LENENG ," Jl. Perkutut ,Kel.  Leneng, Kec. Praya, Kab. Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Praya Leneng 4 
8612,7830.0, KALIMANTAN BARAT , SAMBAS , TELUK KERAMAT , PIPIT TEJA ," Jl. Pasandha Bakti, Kecamatan Teluk Keramat, Kabupaten Sambas, Kalimantan Barat ", SPPG Sambas Teluk Keramat Pipit Teja 
8614,7831.0, SUMATERA SELATAN , KOTA LUBUK LINGGAU , LUBUK LINGGAU TIMUR I , MAJAPAHIT ," Jl. Embacang, Kel. Majapahit, Kec. Lubuk Linggau Timur I, Kota Palembang, Sumatera Selatan ", SPPG Kota Lubuk Linggau Lubuk Linggau Timur I Majapahit 6 
8615,7832.0, JAWA TENGAH , JEPARA , MAYONG , RAJEKWESI ," Dukuh Sambirejo Rt 01 Rw 06, Desa Rajekwesi, Kec. Mayong, Kab. Jepara, Jawa Tengah ", SPPG Jepara Mayong Rajekwesi 
8616,7833.0, JAWA BARAT , CIREBON , PABEDILAN , BABAKAN LOSARI ," Jl. Di Pandjaitan, Babakan Losari, Kec. Pabedilan, Kab. Cirebon, Jawa Barat ", SPPG Cirebon Pabedilan Babakan Losari 2 
8617,7834.0, SUMATERA UTARA , HUMBANG HASUNDUTAN , LINTONG NIHUTA , PARGAULAN ," Jl. Dolok Sanggul, Siborong-Borong, Pargaulan, Lintong Nihuta, Kab. Humbang Hasundutan, Sumatera Utara ", SPPG Humbang Hasundutan Lintong Nihuta Pargaulan 2 
8618,7835.0, JAWA TENGAH , KOTA PEKALONGAN , PEKALONGAN BARAT , PRINGREJO ," Jl. Lestari, Pringrejo, Pekalongan Barat, Pekalongan, Jawa Tengah, ", SPPG Kota Pekalongan Pekalongan Barat Pringrejo 3 
8619,7836.0, JAWA TIMUR , BANYUWANGI , GAMBIRAN , JAJAG ," Jl. Cokro Slamet Kali Pecak, Dusun Yosowinangun, Jajag, Kec. Gambiran, Kab. Banyuwangi, Jawa Timur ", SPPG Banyuwangi Gambiran Jajag 
8620,7837.0, KEPULAUAN BANGKA BELITUNG , BANGKA TENGAH , SUNGAI SELAN , KERETAK ," Desa Keretak, Kecamatan Sungai Selan, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung ", SPPG Bangka Tengah Sungai Selan Keretak 
8621,7838.0, LAMPUNG , LAMPUNG SELATAN , PENENGAHAN , KEKILING ," Jl. Lintas Sumatera Desa Kekiling Kecamatan Penengahan, Kabupaten Lampung Selatan, Lampung ", SPPG Lampung Selatan Penengahan Kekiling 
8622,7839.0, KEPULAUAN BANGKA BELITUNG , BANGKA , BELINYU , KUTO PANJI ," Jl. Mayor Syafrie Rachman, Gang Pgri 2, Kel. Kuto Panji, Kec. Belinyu, Kab. Bangka, Kep. Bangka Belitung ", SPPG Bangka Belinyu Kuto Panji 
8623,7840.0, JAWA TENGAH , PEKALONGAN , BUARAN , SIMBANGKULON ," Jl. Tanjung Pramuka No.6, Sobeng, Simbangkulon, Kec. Buaran, Kab. Pekalongan, Jawa Tengah ", SPPG Pekalongan Buaran Simbangkulon 3 
8625,7841.0, KALIMANTAN TIMUR , KOTA SAMARINDA , SAMARINDA SEBERANG , BAQA ," Jl. Bung Tomo Gg Ridho No 44. Kelurahan Baqa, Kecamatan Samarinda Seberang Kota Samarinda, Kalimantan Timur ", SPPG Kota Samarinda Samarinda Seberang Baqa 2 
8626,7842.0, LAMPUNG , PRINGSEWU , PAGELARAN , GUMUK MAS ," Jl. Lintas Barat Sumatera (Jl. Raya Panutan), Gumuk Mas, Kec. Pagelaran, Kab. Pringsewu, Lampung ", SPPG Pringsewu Pagelaran Gumuk Mas 
8627,7843.0, JAWA BARAT , KOTA BANDUNG , PANYILEUKAN , CIPADUNG KULON ," Jl. Sindangsari, Kelurahan Cipadung Kulon, Kecamatan Panyileukan, Kota Bandung, Jawa Barat ", SPPG Kota Bandung Panyileukan Cipadung Kulon 2 
8628,7844.0, JAWA TENGAH , KUDUS , MEJOBO , KIRIG ," Krapyak, Kirig, Kecamatan Mejobo, Kabupaten Kudus, Jawa Tengah ", SPPG Kudus Mejobo Kirig 
8629,7845.0, SULAWESI SELATAN , BONE , TELLU SIATTINGE , AJJALIRENG ," Jl. Poros Bone Wajo, Kel. Ajjalireng, Kec. Tellu Siattinge, Kab. Bone, Sulawesi Selatan ", SPPG Bone Tellu Siattinge Ajjalireng 
8630,7846.0, BANTEN , SERANG , KIBIN , TAMBAK ," Kampung tambak idul RT.003/RW.001, Kelurahan Tambak, Kecamatan Kibin, Kabupaten Serang, Banten ", SPPG Serang Kibin Tambak 2 
8631,7847.0, JAWA BARAT , KARAWANG , KARAWANG TIMUR , TEGAL SAWAH ," Jl. Manunggal VII, Rt 04/ Rw 02. Krajan 2. Desa Tegalsawah, Karawang Timur, Kab. Karawang, Jawa Barat ", SPPG Karawang Karawang Timur Tegal Sawah 
8632,7848.0, RIAU , KAMPAR , BANGKINANG , PASIR SIALANG ," Lingkungan Pasir Sialang, RT 001/RW 001 ", SPPG Kampar Bangkinang Pasir Sialang 
8633,7849.0, JAWA TIMUR , PASURUAN , BANGIL , KAUMAN ," Jl. Belanak No.204, Kauman, Kec. Bangil, Pasuruan, Jawa Timur ", SPPG Pasuruan Bangil Kauman 
8634,7850.0, RIAU ,  ROKAN HULU , BONAI DARUSSALAM , SONTANG ," Jl. Muara Dilam, Sontang, Kec. Bonai Darussalam, Kab. Rokan Hulu, Riau ", SPPG  Rokan Hulu Bonai Darussalam Sontang 
8636,7851.0, JAWA TIMUR , TUBAN , PARENGAN , MERGOASRI ," Desa Mergoasri, Kecamatan Parengan, Kabupaten Tuban, Provinsi Jawa Timur, Kode Pos 62366 ", SPPG Tuban Parengan Mergoasri 
8637,7852.0, KALIMANTAN TIMUR , KOTA BALIKPAPAN , BALIKPAPAN SELATAN , SEPINGGAN ," Jl. Berlian XII, Kel. Sepinggan, Kec. Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur ", SPPG Kota Balikpapan Balikpapan Selatan Sepinggan 7 
8638,7853.0, JAWA BARAT , BANDUNG BARAT , BATUJAJAR , GALANGGANG , jl.Raya Batujajar no.99 RT 001 RW 003 , SPPG Bandung Barat Batujajar Galanggang 
8639,7854.0, SUMATERA UTARA , KOTA PEMATANGSIANTAR , SIANTAR TIMUR , TOMUAN ," Jl. Kapten Patimura No.80, Tomuan, Kec. Siantar Timur, Kota Pematangsiantar, Sumatera Utara ", SPPG Kota Pematangsiantar Siantar Timur Tomuan 
8640,7855.0, JAWA BARAT , CIREBON , ARJAWINANGUN , KEBONTURI ," Blok Kidas Rt 005 Rw 003 Desa Kebonturi, Kec. Arjawinangun, Kab. Cirebon, Jawa Barat ", SPPG Cirebon Arjawinangun Kebonturi 
8641,7856.0, JAWA BARAT , INDRAMAYU , INDRAMAYU , MARGADADI ," Jalan Mayor Sastra Atmaja No.45, Kampung Margadadi, Kecamatan Indramayu, Kabupaten Indramayu, Provinsi Jawa Barat ", SPPG Indramayu Indramayu Margadadi 2 
8642,7857.0, KALIMANTAN BARAT , MELAWI , NANGA PINOH , PAAL ," Jl. Juang Km 2 No. 10 Desa Paal, Kec. Nanga Pinoh, Kab. Melawi, Kalimantan Barat ", SPPG Melawi Nanga Pinoh Paal 5 
8643,7858.0, JAWA TENGAH , BREBES , LARANGAN , RENGASPENDAWA ," Desa Rengaspendawa, Rengaspendawa, Kec. Larangan, Kab. Brebes, Jawa Tengah ", SPPG Brebes Larangan Rengaspendawa 2 
8644,7859.0, SUMATERA UTARA , KOTA PEMATANGSIANTAR , SIANTAR SITALASARI , BUKIT SOFA ," Jl. Rajamin Purba No.104B, Bukit Sofa, Kec. Siantar Sitalasari, Kota Pematangsiantar, Sumatera Utara ", SPPG Kota Pematangsiantar Siantar Sitalasari Bukit Sofa 3 
8645,7860.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , PRAYA , PERAPEN ," jl. Jempiring,Prapen,kecamatan praya Kabupaten Lombok Tengah,Nusa Tenggara Barat ", SPPG Lombok Tengah Praya Perapen 4 
8647,7861.0, SULAWESI SELATAN , PINRANG , MATTIRO SOMPE , PALLAMEANG ," Pallameang, Kec. Mattiro Sompe, Kab. Pinrang, Sulawesi Selatan ", SPPG Pinrang Mattiro Sompe Pallameang 
8648,7862.0, ACEH , KOTA SUBULUSSALAM , SIMPANG KIRI , SUBULUSSALAM SELATAN ," Jl. Hamzah Fansuri, Subulussalam Selatan, Kec. Simpang Kiri, Kota Subulussalam, Aceh ", SPPG Kota Subulussalam Simpang Kiri Subulussalam Selatan 
8649,7863.0, JAWA BARAT , SUBANG , COMPRENG , KIARASARI ," Jl. Kiarapayung Rt 19 Rw 05, Desa Kiarasari Kecamatan Compreng Kabupaten Subang, Provinsi Jawa Barat, Kode Pos; 41258 ", SPPG Subang Compreng Kiarasari 2 
8650,7864.0, NUSA TENGGARA BARAT , LOMBOK TENGAH , PRAYA TIMUR , SEMOYANG ," Dusun Kebon Desa Semoyang Kecamatan Praya Timur Kabupaten Lombok Tengah, Nusa Tenggara Barat ", SPPG Lombok Tengah Praya Timur Semoyang 
8651,7865.0, LAMPUNG , TULANG BAWANG BARAT , TULANG BAWANG TENGAH , PANARAGAN JAYA ," Panaragan Jaya, Kec. Tulang Bawang Tengah, Kab. Tulang Bawang Barat, Lampung ", SPPG Tulang Bawang Barat Tulang Bawang Tengah Panaragan Jaya 4 
8652,7866.0, ACEH , ACEH UTARA , NIBONG , SUMBOK RAYEUK ," Jl. Line Pipa Point A, Desa Sumbok Rayeuk, Kec. Nibong, Kab. Aceh Utara, Aceh ", SPPG Aceh Utara Nibong Sumbok Rayeuk 
8653,7867.0, SUMATERA UTARA , KOTA MEDAN , MEDAN POLONIA , POLONIA ," Komplek CBD polonia blok BB No. 29-32, kel.Suka Damai, Medan Polonia, Medan City, North Sumatra 20157 ", SPPG Kota Medan Medan Polonia Polonia 2 
8654,7868.0, JAWA TIMUR , GRESIK , MANYAR , PONGANGAN ," Pongangan, Kecamatan Manyar, Kabupaten Gresik, Jawa Timur ", SPPG Gresik Manyar Pongangan 3 
8655,7869.0, JAWA TENGAH , SRAGEN , KARANGMALANG , PLUMBUNGAN ," Desa Plumbungan Rt. 009 Rw. 004 Kel. Plumbungan, Kec. Karangmalang, Kab. Sragen, Jawa Tengah ", SPPG Sragen Karangmalang Plumbungan 
8656,7870.0, JAWA BARAT , BOGOR , CISARUA , CISARUA ," Cibedug, Kecamatan Cisarua, Kabupaten Bogor, Jawa Barat ", SPPG Bogor Cisarua Cisarua 2 
8658,7871.0, JAMBI ,  KERINCI , KAYU ARO , MEKAR JAYA ," Jl. Lintas Sungai Tanduk, Mekar RT 06 ", SPPG  Kerinci Kayu Aro Mekar Jaya 
8659,7872.0, JAWA BARAT , BOGOR , CIOMAS , CIOMAS RAHAYU ," Jl. Rahayu 1 No.23B, Rt.01/Rw.09 Kel. Ciomas Rahayu, Kec. Ciomas, Kabupaten Bogor, Jawa Barat 16610 ", SPPG Bogor Ciomas Ciomas Rahayu 
8660,7873.0, JAWA TENGAH , PEMALANG , ULUJAMI , AMBOWETAN ," Jl. Raya Ulujami No. 25 Desa Ambowetan, Ambowetan, Ulujami, Kabupaten  Pemalang, Jawa Tengah ", SPPG Pemalang Ulujami Ambowetan 
8661,7874.0, SULAWESI SELATAN , JENEPONTO , BONTORAMBA , BARAYA ," Desa Baraya, Kec. Bontoramba, Kab. Jeneponto, Sulawesi Selatan ", SPPG Jeneponto Bontoramba Baraya 
8662,7875.0, JAWA BARAT , KOTA BANJAR , LANGENSARI , REJASARI ," Blok Sampih Rt/Rw 002/008, Rejasari, Langensari, Kota Banjar, Jawa Barat ", SPPG Kota Banjar Langensari Rejasari 2 
8663,7876.0, SULAWESI TENGGARA , KOTA KENDARI , MANDONGA , MANDONGA ," Jl. Laute 1 No. 17 E, Kel.Mandonga, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara. ", SPPG Kota Kendari Mandonga Mandonga 
8664,7877.0, ACEH , ACEH TENGGARA , BABUL RAHMAH , TUHI JONGKAT ," Tuhi Jongkat Kecamatan Babul Rahmah, Kabupaten Aceh Tenggara, Aceh ", SPPG Aceh Tenggara Babul Rahmah Tuhi Jongkat 
8665,7878.0, SUMATERA SELATAN , KOTA PALEMBANG , KALIDONI , KALIDONI ," Jl. Urip Sumiharjo Lr Madiun 2 No 26 Rt 012 Rw 003 Kelurahan Kalidoni, Kecamatan Kalidoni,&amp;amp;amp;amp;amp;amp;nbsp;Kota Palembang, Sumatera Selatan ", SPPG Kota Palembang Kalidoni Kalidoni 10 
8666,7879.0, LAMPUNG , TULANG BAWANG BARAT , GUNUNG AGUNG , TUNAS JAYA ," Jl. Diponegoro, Sp 1 C Tiyuh Tunas Jaya, Tunas Jaya, Kec. Gunung Agung, Kab. Tulang Bawang Barat, Lampung ", SPPG Tulang Bawang Barat Gunung Agung Tunas Jaya 2 
8667,7880.0, RIAU , KOTA DUMAI , DUMAI TIMUR , BULUH KASAP ," Jl. Gajahmada No. 87, Buluh Kasap, Dumai Timur, Kota Dumai, Riau ", SPPG Kota Dumai Dumai Timur Buluh Kasap 
8669,7881.0, LAMPUNG , PRINGSEWU , AMBARAWA , AMBARAWA BARAT ," Ambarawa Barat, Kecamatan Ambarawa, Kabupaten Pringsewu, Lampung ", SPPG Pringsewu Ambarawa Ambarawa Barat 
